"word","n"
"compost",3
"compressing",3
"concentrating",3
"concu",3
"concussi",3
"condensation",3
"congenital",3
"conjuctival",3
"conjunctivial",3
"conjunctivits",3
"connect",3
"console",3
"constanly",3
"constructionjob",3
"contac",3
"contaminants",3
"continual",3
"contractions",3
"controller",3
"contsz",3
"contuision",3
"contusionface",3
"contusioni",3
"contusionlt",3
"contustion",3
"convenient",3
"converyor",3
"cookies",3
"cookware",3
"coop",3
"cooper",3
"cornal",3
"corporis",3
"couching",3
"coughs",3
"counters",3
"counts",3
"cousin",3
"coworer",3
"cowork",3
"coworked",3
"cra",3
"crawls",3
"crawlspace",3
"created",3
"cricular",3
"crimping",3
"crossbar",3
"crossfire",3
"crrt",3
"cruise",3
"crushinginjury",3
"crusting",3
"cryostat",3
"ctured",3
"cube",3
"cue",3
"cuffstrain",3
"cushions",3
"cussion",3
"cuthimself",3
"cutlt",3
"cuttign",3
"cva",3
"cx",3
"cycle",3
"cylinders",3
"cystic",3
"cystitis",3
"db",3
"dcx",3
"death",3
"deceased",3
"decking",3
"degre",3
"degreeburns",3
"deliverer",3
"deniesloc",3
"denture",3
"depl",3
"depot",3
"dequervain",3
"dequervains",3
"derangment",3
"dermat",3
"dermatatis",3
"develo",3
"developedshoulder",3
"developping",3
"develped",3
"devices",3
"devleoped",3
"devloped",3
"dg",3
"died",3
"dimethylformamide",3
"din",3
"dipped",3
"dipping",3
"directed",3
"director",3
"dismantling",3
"displays",3
"disposable",3
"dissecting",3
"distalphalanx",3
"distalradius",3
"distla",3
"distributing",3
"diverticulitis",3
"dizzines",3
"dna",3
"doberman",3
"doctors",3
"dogfood",3
"doingheavy",3
"dolley",3
"doorclosed",3
"doorstop",3
"doorwhile",3
"dorsi",3
"dot",3
"dover",3
"downlower",3
"downon",3
"downsteps",3
"dozed",3
"drained",3
"drainpipe",3
"drawingblood",3
"drinving",3
"dripping",3
"drity",3
"droplet",3
"droplets",3
"droppings",3
"druing",3
"drywalling",3
"dtr",3
"duringan",3
"dutyas",3
"dxabd",3
"dxabrasion",3
"dxallergic",3
"dxarm",3
"dxconcs",3
"dxct",3
"dxeye",3
"dxhip",3
"dxleg",3
"dxlower",3
"dxmusculoskeletal",3
"dxrib",3
"dxthoracic",3
"dxthumb",3
"dxtoe",3
"dxx",3
"dysphagia",3
"eardx",3
"earing",3
"ease",3
"eblow",3
"ebow",3
"edged",3
"education",3
"ees",3
"effects",3
"effluent",3
"effort",3
"eggplant",3
"ehat",3
"eject",3
"ejection",3
"elbowcontusion",3
"elbowon",3
"elctrical",3
"electic",3
"electrial",3
"electrode",3
"eletrical",3
"elevating",3
"elevators",3
"elope",3
"elt",3
"embroidery",3
"employers",3
"emplyee",3
"emptied",3
"empying",3
"endoscope",3
"endplate",3
"endured",3
"entrance",3
"epinephrine",3
"equimpment",3
"equiptment",3
"equpment",3
"erratically",3
"escaped",3
"esophageal",3
"establishment",3
"evacuate",3
"evacuation",3
"everting",3
"everywhere",3
"evs",3
"excerb",3
"excercise",3
"excited",3
"exert",3
"exhausted",3
"exhaustio",3
"exhauston",3
"explorer",3
"explosed",3
"expoed",3
"expto",3
"expy",3
"extensions",3
"extention",3
"extinguishers",3
"extingusher",3
"extract",3
"extremety",3
"extubating",3
"eyebrown",3
"eyesterday",3
"fabrication",3
"faceby",3
"facesheet",3
"facewhile",3
"faciallaceration",3
"faciitis",3
"fact",3
"fake",3
"falldx",3
"fallin",3
"fallingat",3
"fam",3
"fatality",3
"fdx",3
"feared",3
"feeta",3
"feets",3
"fellinto",3
"fellout",3
"feltsharp",3
"fenceand",3
"fibers",3
"fibrillation",3
"fights",3
"figure",3
"filed",3
"fileds",3
"filet",3
"finfer",3
"fingercontusion",3
"fingerpain",3
"fingerw",3
"finish",3
"finisher",3
"finnger",3
"firecall",3
"firefigher",3
"firehydrant",3
"firestation",3
"fistula",3
"fixes",3
"flailing",3
"flal",3
"flaming",3
"flats",3
"fleas",3
"flexing",3
"flicking",3
"flinched",3
"floo",3
"flood",3
"flopped",3
"flouride",3
"flui",3
"fluis",3
"fm",3
"fogginess",3
"fooot",3
"foos",3
"footed",3
"footsprain",3
"forceful",3
"forearmpain",3
"forefoot",3
"forgetting",3
"forwards",3
"fossa",3
"foster",3
"fought",3
"fp",3
"fracturedfinger",3
"fracturedlower",3
"fracutre",3
"fracutred",3
"freeze",3
"freezers",3
"freezing",3
"fridges",3
"frieght",3
"frmo",3
"froin",3
"frompt",3
"fromsubject",3
"frontseat",3
"frostnip",3
"froze",3
"fting",3
"fu",3
"fuid",3
"fullness",3
"functioning",3
"funnel",3
"gag",3
"galss",3
"gang",3
"garbagetruck",3
"garlic",3
"garment",3
"gentleman",3
"gerd",3
"gestation",3
"gettin",3
"gettng",3
"ght",3
"gin",3
"glasss",3
"global",3
"grabage",3
"graduation",3
"grandson",3
"grapes",3
"grassy",3
"grates",3
"grave",3
"gray",3
"grey",3
"grilling",3
"grinders",3
"gringer",3
"gripped",3
"groind",3
"grond",3
"groundskeeper",3
"grove",3
"groves",3
"guidewire",3
"gulf",3
"gunpoint",3
"gunshots",3
"gymnastic",3
"hadto",3
"hairline",3
"hamd",3
"hammerdx",3
"hams",3
"handat",3
"handel",3
"handeling",3
"handful",3
"handlac",3
"handlign",3
"handsaw",3
"handscontact",3
"happended",3
"happening",3
"har",3
"haspain",3
"hatchet",3
"hats",3
"havey",3
"hayrack",3
"hci",3
"headachedx",3
"headlaceration",3
"headonto",3
"headpain",3
"headrest",3
"headset",3
"heats",3
"hedropped",3
"heifer",3
"heimlich",3
"helipad",3
"helium",3
"helper",3
"hematom",3
"hematomas",3
"hemo",3
"hemodialysis",3
"hemoperitoneum",3
"hemorrhoid",3
"hemtoma",3
"hepc",3
"herback",3
"herdx",3
"herface",3
"herjob",3
"herleg",3
"herlt",3
"herpatient",3
"herr",3
"herrt",3
"hershoulder",3
"heslipped",3
"hgb",3
"hid",3
"hides",3
"highly",3
"hight",3
"hillside",3
"himdx",3
"himwhile",3
"hin",3
"hing",3
"hired",3
"hisl",3
"hiswork",3
"hiswrist",3
"hitback",3
"hitchest",3
"hitface",3
"hitknee",3
"hitside",3
"hnd",3
"hoarse",3
"holeand",3
"holiday",3
"hoods",3
"hopping",3
"horns",3
"horseplaying",3
"hosptal",3
"housekeep",3
"hrpta",3
"hsv",3
"hte",3
"htx",3
"hug",3
"humban",3
"humidity",3
"hump",3
"hurther",3
"husky",3
"hutch",3
"hydraulics",3
"hypo",3
"hypoglycemia",3
"hypomagnesemia",3
"hypoxia",3
"ical",3
"icecream",3
"iced",3
"ight",3
"ii",3
"imp",3
"impaction",3
"inahaled",3
"inahled",3
"inclined",3
"increasedpain",3
"independent",3
"inder",3
"indx",3
"infestation",3
"inhalati",3
"inhalatio",3
"inhaler",3
"injurd",3
"injuredback",3
"injuredlower",3
"injuredwhile",3
"injuury",3
"inknee",3
"inl",3
"ino",3
"inserts",3
"inspect",3
"inspection",3
"inst",3
"instruction",3
"insuline",3
"insullation",3
"intentional",3
"interning",3
"intiall",3
"intoeyes",3
"intracerebral",3
"intraparenchymal",3
"inuured",3
"invehicle",3
"involed",3
"involvedin",3
"iodine",3
"iris",3
"irrigate",3
"irritate",3
"island",3
"isolette",3
"itbounced",3
"itcame",3
"itches",3
"itstarted",3
"itwhile",3
"ivf",3
"iyof",3
"jackknifed",3
"jailer",3
"jambed",3
"jeweler",3
"jittery",3
"joined",3
"jolting",3
"jostled",3
"jumpseat",3
"jus",3
"justpta",3
"keratits",3
"ketone",3
"kichen",3
"killed",3
"kitche",3
"kneel",3
"knifeand",3
"knowing",3
"ko",3
"ktichen",3
"laca",3
"laceartion",3
"lacerattion",3
"laces",3
"lack",3
"lacx",3
"ladderand",3
"laide",3
"laoding",3
"larg",3
"lass",3
"lasting",3
"laterality",3
"layered",3
"lbpx2d",3
"lbpx2wks",3
"lbpx3wks",3
"leader",3
"leaky",3
"lecture",3
"lefted",3
"lefting",3
"leftwithout",3
"lense",3
"lesson",3
"leukocytosis",3
"license",3
"lids",3
"lightbulbs",3
"limbar",3
"lindex",3
"lined",3
"lited",3
"lleg",3
"llower",3
"lockedup",3
"locks",3
"locksmith",3
"loewr",3
"logger",3
"loop",3
"loor",3
"loosing",3
"los",3
"lowbk",3
"lowertrunk",3
"lowre",3
"lsipped",3
"ltforearm",3
"ltside",3
"ltthigh",3
"lum",3
"lumbarsacral",3
"lumboscral",3
"lumps",3
"lupus",3
"lwrist",3
"machiine",3
"machineand",3
"mainly",3
"makeshift",3
"mallot",3
"managing",3
"mangoes",3
"manifold",3
"manufacturer",3
"marked",3
"marrow",3
"masseuse",3
"mca",3
"mchine",3
"meatal",3
"medal",3
"melee",3
"melons",3
"mes",3
"metalbar",3
"metaldoor",3
"metaldx",3
"metally",3
"metla",3
"microphone",3
"midde",3
"midfoot",3
"midle",3
"migraines",3
"military",3
"milkshake",3
"mission",3
"mistake",3
"mixes",3
"mm",3
"moniter",3
"moping",3
"morter",3
"mortuary",3
"mosquitoes",3
"motorcycles",3
"mounted",3
"movinga",3
"movingitems",3
"mows",3
"mp",3
"mse",3
"mskpain",3
"mtal",3
"mtr",3
"muscloskeletal",3
"mushroom",3
"musical",3
"nailer",3
"nailinto",3
"nasa",3
"national",3
"nauseaus",3
"nebulizer",3
"necksprain",3
"necrotic",3
"nedlestick",3
"needlein",3
"needletick",3
"needlewhile",3
"nephrolithiasis",3
"nephrostomy",3
"netting",3
"neuropathic",3
"newpaper",3
"ngt",3
"nipped",3
"njured",3
"njury",3
"nodules",3
"nonradiating",3
"nontraumatic",3
"nostrils",3
"notices",3
"notified",3
"notstated",3
"nowfeet",3
"nstemi",3
"nu",3
"nylon",3
"oatmeal",3
"oback",3
"observ",3
"occasion",3
"occuptation",3
"ofbending",3
"ofc",3
"offand",3
"officerwas",3
"offloading",3
"offood",3
"ofhand",3
"ofifcer",3
"ofstairs",3
"ofsteel",3
"ofsubject",3
"oftime",3
"oheadache",3
"oject",3
"ojects",3
"oknee",3
"olbp",3
"oleft",3
"olow",3
"olt",3
"onbroken",3
"onconcrete",3
"onfeet",3
"onfoot",3
"onfriday",3
"onhand",3
"onknees",3
"onpt",3
"onsubject",3
"ontohead",3
"ontol",3
"ontort",3
"onychia",3
"oon",3
"oozing",3
"oper",3
"opponant",3
"organic",3
"organophosphate",3
"origin",3
"original",3
"osteomylitis",3
"ots",3
"outrigger",3
"outting",3
"overdose",3
"overhang",3
"overhanging",3
"overthe",3
"ovr",3
"owkr",3
"ox",3
"oximetry",3
"paain",3
"pacer",3
"packaged",3
"padded",3
"pahalnx",3
"paina",3
"painafter",3
"painat",3
"painbegan",3
"paind",3
"paindue",3
"painf",3
"painfrom",3
"painfull",3
"painsince",3
"painstarted",3
"painwith",3
"painx3d",3
"painx3wks",3
"painx4d",3
"pale",3
"palett",3
"palpable",3
"pancreatitis",3
"panes",3
"paon",3
"paralysis",3
"paraplegic",3
"parasthesia",3
"paratransit",3
"paravertebral",3
"parethesia",3
"participant",3
"pathogens",3
"pati",3
"patienrs",3
"patientand",3
"patientdx",3
"patrons",3
"patties",3
"paw",3
"pebble",3
"pedals",3
"pedi",3
"penetrate",3
"pep",3
"perianal",3
"perineal",3
"periodic",3
"peroxyacetic",3
"persists",3
"personnel",3
"petal",3
"petroleum",3
"pets",3
"ph",3
"phalangeal",3
"phlebotomy",3
"phones",3
"photosensitivity",3
"physicial",3
"pi",3
"pickingup",3
"picnic",3
"pies",3
"pined",3
"pinpoint",3
"pint",3
"pipet",3
"pitched",3
"pl",3
"plated",3
"pleurisy",3
"pleuritic",3
"plt",3
"plunger",3
"ply",3
"pnfull",3
"pnx",3
"pointing",3
"poop",3
"popliteal",3
"posioning",3
"posterolateral",3
"potatoe",3
"potty",3
"pouch",3
"poultry",3
"pours",3
"powdery",3
"powerful",3
"pped",3
"precautions",3
"preparation",3
"preps",3
"presens",3
"presses",3
"pressue",3
"pricking",3
"primarily",3
"primate",3
"probes",3
"proceeded",3
"progress",3
"prompting",3
"propeller",3
"properties",3
"propping",3
"protec",3
"protecting",3
"protector",3
"protocol",3
"provide",3
"prsents",3
"ps",3
"ptapt",3
"pto",3
"ptstates",3
"puller",3
"pumps",3
"punctureto",3
"puncturewounds",3
"puntcure",3
"puntured",3
"pupil",3
"pushe",3
"puting",3
"pwto",3
"pxdx",3
"pyelonephritis",3
"qd",3
"quadracep",3
"quarry",3
"quarters",3
"quitea",3
"races",3
"racetrack",3
"radiusfx",3
"raidating",3
"railings",3
"rained",3
"raises",3
"ranger",3
"ranover",3
"rape",3
"raspy",3
"ratcheting",3
"rattle",3
"rays",3
"rb",3
"read",3
"reagent",3
"realtor",3
"reams",3
"reatined",3
"rebarb",3
"rebuilding",3
"recaping",3
"receiver",3
"reciprocating",3
"recluse",3
"recreation",3
"recreational",3
"recruit",3
"reddened",3
"reddness",3
"redirect",3
"reducable",3
"reffing",3
"refridgerator",3
"refuses",3
"regions",3
"relative",3
"remains",3
"remeber",3
"reparing",3
"repeatitively",3
"repelling",3
"repetatively",3
"repettive",3
"reporting",3
"reprts",3
"requirement",3
"residency",3
"resisdent",3
"restarted",3
"restoration",3
"restraina",3
"restraineddriver",3
"restrainingsomeone",3
"restrains",3
"rfoot",3
"rft",3
"rhabdomyolys",3
"rhand",3
"rightfoot",3
"rigorous",3
"rin",3
"ringfinger",3
"rise",3
"rknee",3
"rl",3
"rmeove",3
"roach",3
"robot",3
"rocky",3
"role",3
"rolledankle",3
"rolledover",3
"roofs",3
"rotate",3
"rpain",3
"rpt",3
"rrf",3
"rscwp",3
"rtankle",3
"rtc",3
"rumc",3
"runaway",3
"ry",3
"sa",3
"safetly",3
"sage",3
"salive",3
"salsa",3
"sands",3
"sarted",3
"sawblade",3
"scaffoling",3
"scapal",3
"scapholunate",3
"scar",3
"scartched",3
"scatica",3
"scba",3
"scenario",3
"scent",3
"scented",3
"scholl",3
"schoolbus",3
"schoolyard",3
"science",3
"scm",3
"scoops",3
"scope",3
"scrapyard",3
"screwed",3
"season",3
"secretion",3
"sections",3
"sedation",3
"seeds",3
"segment",3
"selfemployed",3
"selfwith",3
"semit",3
"sensitive",3
"sept",3
"serated",3
"serous",3
"serum",3
"servere",3
"seven",3
"severaldays",3
"seye",3
"sg",3
"shaken",3
"shakiness",3
"shampooer",3
"shaped",3
"shaper",3
"sharppain",3
"shattering",3
"sheath",3
"sheers",3
"shefell",3
"shefelt",3
"shellfish",3
"sheslipped",3
"shifter",3
"shipment",3
"shoilder",3
"shoo",3
"shore",3
"shoulderand",3
"shoulderdislocation",3
"shoulderwhile",3
"shovelling",3
"shown",3
"shrapnel",3
"sideview",3
"sight",3
"silk",3
"sipped",3
"skateboard",3
"skier",3
"skinned",3
"slanted",3
"slaughterhouse",3
"slaughtering",3
"sled",3
"slidding",3
"slider",3
"slivers",3
"sloped",3
"slowed",3
"smasher",3
"smokey",3
"smooth",3
"snf",3
"snowboarder",3
"snowboarding",3
"soaps",3
"sodder",3
"sohulder",3
"somehting",3
"somethingat",3
"somethingpop",3
"somethingwent",3
"somethng",3
"sonething",3
"soot",3
"soulder",3
"spaces",3
"spackle",3
"spackling",3
"spare",3
"spas",3
"spashed",3
"spasmed",3
"spasmodic",3
"spattered",3
"speak",3
"speakers",3
"spear",3
"speeding",3
"spices",3
"spinter",3
"splahed",3
"splashe",3
"splashedinto",3
"splinters",3
"splshed",3
"spoiled",3
"spoke",3
"sprainedknee",3
"sprang",3
"sputom",3
"sq",3
"srayed",3
"sruck",3
"sstrain",3
"sta",3
"stackof",3
"stairsand",3
"stairsat",3
"standin",3
"stared",3
"stat",3
"statues",3
"stck",3
"ste",3
"steaming",3
"steppingoff",3
"stereo",3
"stethoscope",3
"stinger",3
"stirring",3
"stitches",3
"stops",3
"stored",3
"straiend",3
"straightened",3
"straiin",3
"strainedwrist",3
"strainof",3
"strangled",3
"strangulation",3
"strapped",3
"streak",3
"streets",3
"strick",3
"strikign",3
"struckhis",3
"struckon",3
"strut",3
"sttes",3
"stumble",3
"stumps",3
"style",3
"styling",3
"subcutaneous",3
"subdued",3
"subfloor",3
"subjectfor",3
"subjectpatient",3
"subscapular",3
"subseq",3
"substations",3
"sucking",3
"suddenonset",3
"sulfite",3
"sunburned",3
"superfacial",3
"supportive",3
"supposed",3
"suppression",3
"sur",3
"surrounded",3
"susp",3
"suspicious",3
"sustaine",3
"sustined",3
"swab",3
"swap",3
"swarm",3
"sweeling",3
"sweep",3
"swellingto",3
"swimmingpool",3
"swipe",3
"syringes",3
"t3",3
"t9",3
"tablet",3
"tablets",3
"tachy",3
"taco",3
"takedown",3
"takingout",3
"tamping",3
"tangle",3
"tanning",3
"target",3
"taste",3
"tatoo",3
"teen",3
"tele",3
"tell",3
"teller",3
"temperatures",3
"tendinosis",3
"tends",3
"tense",3
"tents",3
"terrain",3
"testical",3
"thand",3
"thanksgiving",3
"theback",3
"theday",3
"theeye",3
"theknife",3
"thenose",3
"thermostat",3
"theroof",3
"theside",3
"thesubject",3
"thgih",3
"thier",3
"thmb",3
"tho",3
"thoraci",3
"thoracicspine",3
"threatening",3
"thrombophlebitis",3
"thrus",3
"thu",3
"thumblac",3
"thump",3
"tine",3
"tingl",3
"tinnitis",3
"tio",3
"tipof",3
"tiwsted",3
"tk",3
"tknee",3
"tl",3
"toarrest",3
"toclean",3
"todya",3
"toeyes",3
"tograb",3
"tohis",3
"toi",3
"toleg",3
"toolbelt",3
"toothache",3
"topull",3
"toput",3
"torestrain",3
"torib",3
"toright",3
"torqued",3
"tosubdue",3
"touches",3
"toulene",3
"towed",3
"tox",3
"tpain",3
"tpost",3
"tractortrailer",3
"tramatic",3
"tranferred",3
"tranporting",3
"trapeze",3
"traps",3
"treet",3
"tri",3
"triaging",3
"trick",3
"tripod",3
"trippe",3
"triquetral",3
"trn",3
"trocar",3
"troponin",3
"truc",3
"tryign",3
"tto",3
"tuberosity",3
"tugger",3
"tunnell",3
"tunnels",3
"ture",3
"turf",3
"turing",3
"turnstile",3
"tussle",3
"tweezers",3
"twelve",3
"twig",3
"twiste",3
"twistedrt",3
"twitching",3
"twsiting",3
"uck",3
"uk",3
"ulcers",3
"umping",3
"unableto",3
"unaware",3
"undetermined",3
"uner",3
"unexpectedly",3
"unilateral",3
"unlevel",3
"unloding",3
"unmarked",3
"unrolling",3
"unscrewed",3
"unspecif",3
"unstick",3
"unvaccinated",3
"unwitnessed",3
"uom",3
"upand",3
"upperchest",3
"uq",3
"urfsp",3
"urticarial",3
"usedto",3
"usiing",3
"ustained",3
"ustion",3
"uturn",3
"uveitis",3
"valgus",3
"vehcile",3
"vented",3
"ver",3
"vertebrae",3
"vertical",3
"vessel",3
"vinegar",3
"vineyard",3
"virus",3
"voilent",3
"vomitingdx",3
"vomitng",3
"vomting",3
"vre",3
"w0rk",3
"wacked",3
"wake",3
"wallboard",3
"wallcontusion",3
"walldx",3
"wand",3
"war",3
"wards",3
"ware",3
"warehous",3
"warmth",3
"wasa",3
"wasexposed",3
"wason",3
"wasrearended",3
"wasstanding",3
"wasthrown",3
"waters",3
"ways",3
"weakne",3
"welds",3
"wetfloor",3
"wheelbarrel",3
"wheelbarrows",3
"wheeze",3
"wheh",3
"whenlifting",3
"whenworking",3
"whereshe",3
"whether",3
"whilearresting",3
"whiledoing",3
"whiledriving",3
"whilehe",3
"whilein",3
"whilemoving",3
"whileshe",3
"whileusing",3
"whiole",3
"whowas",3
"whrn",3
"wide",3
"wierd",3
"wildfire",3
"windmill",3
"winery",3
"wiorking",3
"wist",3
"withi",3
"withknife",3
"withswelling",3
"withthe",3
"wnt",3
"wobbly",3
"woker",3
"won",3
"wond",3
"wont",3
"woodshop",3
"wori",3
"woriking",3
"work1",3
"work10",3
"workacute",3
"workankle",3
"workchemical",3
"workd",3
"worke",3
"workfinger",3
"workfor",3
"workhad",3
"workhitting",3
"workign",3
"workingfor",3
"workingtoday",3
"workis",3
"workknee",3
"worklower",3
"worklumbar",3
"workm",3
"workmans",3
"workseveral",3
"workusing",3
"wortk",3
"woun",3
"wprker",3
"wrenches",3
"wrisst",3
"wristlaceration",3
"writ",3
"wwork",3
"x2d",3
"x30mins",3
"x3d",3
"x4days",3
"x5days",3
"x5hours",3
"x8hours",3
"x8hr",3
"xmas",3
"xposure",3
"y0f",3
"yank",3
"yanking",3
"yoff",3
"yofwas",3
"yohf",3
"yomat",3
"yomcut",3
"yomis",3
"yomlac",3
"yomlaceration",3
"yomwith",3
"yp",3
"zero",3
"zipper",3
"00",2
"0100",2
"0400",2
"05am",2
"0600",2
"0630",2
"07",2
"09",2
"100ft",2
"1030",2
"1030am",2
"105",2
"10day",2
"10days",2
"10feet",2
"10hours",2
"10sec",2
"110v",2
"11ft",2
"1200lb",2
"12v",2
"12wks",2
"1300lb",2
"130lb",2
"135",2
"13ft",2
"13wks",2
"140",2
"14hrs",2
"14yo",2
"1530",2
"15a",2
"15hrs",2
"15p",2
"15wks",2
"15yowf",2
"160lb",2
"160lbs",2
"16fth",2
"16hr",2
"16yo",2
"1700",2
"1730",2
"175",2
"17ft",2
"18yohm",2
"1930",2
"1degree",2
"1ft",2
"1fth",2
"1mm",2
"1mvc",2
"1p",2
"1wkago",2
"1ya",2
"2000lb",2
"2003",2
"2004",2
"2007",2
"2010",2
"205",2
"20mins",2
"20yobm",2
"21g",2
"21yobm",2
"22yobm",2
"230",2
"230pm",2
"236",2
"240lb",2
"24ft",2
"24hour",2
"24hr",2
"25g",2
"25yohf",2
"26ym",2
"26yobf",2
"26yobm",2
"270volt",2
"27yobm",2
"28ft",2
"29yohf",2
"2dago",2
"2fth",2
"2jobs",2
"2mm",2
"2x10",2
"2x2",2
"2x3ft",2
"2x4s",2
"2x8",2
"2yrs",2
"3000lb",2
"30yrs",2
"32wks",2
"32yobm",2
"33yohm",2
"346",2
"34d",2
"34yobm",2
"34yohf",2
"350lbs",2
"35am",2
"35yohf",2
"360",2
"36yobf",2
"36yohf",2
"384",2
"38yobm",2
"38yohf",2
"38yohm",2
"39yobm",2
"39yohf",2
"3dago",2
"3mm",2
"3weeks",2
"3yrs",2
"400lbs",2
"40mins",2
"40pm",2
"40yobm",2
"41yohf",2
"450lbs",2
"45p",2
"45yohm",2
"460",2
"46yobf",2
"49yo",2
"49yohf",2
"4arm",2
"4day",2
"4hrs",2
"4in",2
"4m",2
"4mo",2
"4p",2
"4x6",2
"4yom",2
"4yr",2
"5000",2
"5000lb",2
"50ft",2
"50yohm",2
"51yobm",2
"52yobm",2
"53yobm",2
"545",2
"54yohf",2
"55lbs",2
"55yohf",2
"57yohm",2
"5day",2
"5in",2
"5thdigit",2
"5thmetatarsal",2
"5x",2
"63",2
"64",2
"65yowm",2
"6a",2
"6days",2
"6x",2
"6x6",2
"70yobf",2
"70yowm",2
"72yowm",2
"730am",2
"76yowm",2
"77",2
"7a",2
"7d",2
"7days",2
"7fth",2
"7yo",2
"7yom",2
"80kg",2
"80mph",2
"82yowm",2
"89",2
"8da",2
"8lbs",2
"8mo",2
"8yof",2
"8yom",2
"900lb",2
"90lbs",2
"91",2
"92",2
"930am",2
"9a",2
"9cm",2
"9da",2
"a2x4",2
"a4",2
"aago",2
"aarm",2
"abag",2
"abakery",2
"abarasion",2
"abarsions",2
"abasion",2
"abatement",2
"abc",2
"abdlmen",2
"abdomeinal",2
"abdominalpain",2
"abdomnal",2
"abduct",2
"abduction",2
"abdwall",2
"abe",2
"abed",2
"ability",2
"abm",2
"abnormalities",2
"about3",2
"about4",2
"abraion",2
"abraisons",2
"abrased",2
"abrasiion",2
"abrasioin",2
"abrasionlt",2
"abrasionnoted",2
"abrin",2
"abscesses",2
"abt",2
"abucket",2
"abuilding",2
"acashier",2
"accide",2
"accidentallytripped",2
"accidential",2
"accidetnal",2
"accompanying",2
"according",2
"accountant",2
"aceiling",2
"achain",2
"achiness",2
"acic",2
"acidentally",2
"acidently",2
"aconcussion",2
"acrane",2
"acromial",2
"acrylate",2
"acte",2
"acted",2
"actress",2
"actue",2
"actured",2
"acuity",2
"acutebilat",2
"acuteleft",2
"aday",2
"added",2
"adding",2
"additive",2
"adducting",2
"adirty",2
"adjacent",2
"adjusted",2
"adminstering",2
"admission",2
"admissions",2
"adog",2
"advance",2
"advertising",2
"advice",2
"aerobics",2
"afew",2
"affraid",2
"afloor",2
"afterbeing",2
"aftering",2
"afterpicking",2
"afterr",2
"aftger",2
"againstmetal",2
"agaisnt",2
"agave",2
"aggresive",2
"aggrevating",2
"aggrivating",2
"agigated",2
"agitation",2
"agoafter",2
"agoand",2
"agressively",2
"agricultural",2
"ahammer",2
"ahdn",2
"ahigh",2
"ahold",2
"ahousekeeper",2
"aicd",2
"aiming",2
"airbagsc",2
"airbor",2
"aircompressor",2
"airconditioned",2
"airliner",2
"airvent",2
"aisles",2
"ajusting",2
"alawn",2
"alergic",2
"alkalinized",2
"allnight",2
"allowed",2
"allregic",2
"alluminum",2
"alongside",2
"alter",2
"alteraction",2
"alteration",2
"altercatin",2
"altercatio",2
"altercationw",2
"altercatoin",2
"aluminun",2
"alumminum",2
"alvulsion",2
"aman",2
"amat",2
"ambers",2
"amblance",2
"amechanic",2
"amedical",2
"amplifier",2
"ampoule",2
"ampuation",2
"amputa",2
"amputaion",2
"amputatio",2
"amputationof",2
"amputed",2
"anagitated",2
"anchored",2
"andbent",2
"andbit",2
"andburned",2
"anddown",2
"anddropped",2
"andfinger",2
"andhas",2
"andhurt",2
"andinverted",2
"andknocked",2
"andmay",2
"andpain",2
"andpossibly",2
"andr",2
"androlled",2
"andshoulder",2
"andslipped",2
"andstanding",2
"andstruck",2
"andswelling",2
"andthe",2
"andthinks",2
"andtripped",2
"andtwisted",2
"andwall",2
"anemployee",2
"aneurysm",2
"anew",2
"angled",2
"angulated",2
"anhydrase",2
"ankleankle",2
"ankledeformity",2
"anothercar",2
"answered",2
"anterolisthesis",2
"anthrax",2
"antibacterial",2
"antitheft",2
"anymore",2
"aog",2
"apain",2
"apartments",2
"apipe",2
"aplumber",2
"apolice",2
"applicator",2
"appratus",2
"apprehended",2
"apr",2
"aprehend",2
"aprehending",2
"april",2
"apw",2
"aresident",2
"armabrasions",2
"armand",2
"armby",2
"arme",2
"armnow",2
"armoir",2
"armor",2
"armred",2
"armrest",2
"armsand",2
"arock",2
"arouind",2
"aroundhis",2
"arrange",2
"arranging",2
"arrive",2
"arthalgia",2
"arthropod",2
"article",2
"artifical",2
"asap",2
"asheet",2
"ashome",2
"aspart",2
"aspirate",2
"assa",2
"assaisting",2
"assalted",2
"assauled",2
"assaulte",2
"assaultedat",2
"assaut",2
"assebly",2
"assecurity",2
"assessment",2
"assistaing",2
"assistent",2
"assit",2
"assited",2
"asslt",2
"associate",2
"associates",2
"assumes",2
"asthama",2
"asthmaticus",2
"astmha",2
"astore",2
"astudent",2
"asx",2
"asymptomatic",2
"at3am",2
"atacked",2
"atapprox",2
"aterial",2
"atfer",2
"atgrocery",2
"atire",2
"ato",2
"atow",2
"atrained",2
"atschool",2
"attemptedto",2
"attendent",2
"attepting",2
"attmepting",2
"attn",2
"attorney",2
"attributing",2
"atunspecified",2
"atwk",2
"au",2
"auction",2
"aunt",2
"austic",2
"aute",2
"autoshop",2
"average",2
"avoided",2
"avoiding",2
"avulstion",2
"aw",2
"awaitress",2
"awake",2
"awarehouse",2
"awk",2
"awl",2
"awood",2
"ayt",2
"az",2
"backc",2
"backedup",2
"backflip",2
"backhow",2
"backinjury",2
"backpainful",2
"backup",2
"backw",2
"bacwards",2
"badminton",2
"bagan",2
"bagged",2
"bagle",2
"bagof",2
"balances",2
"balancing",2
"ballistic",2
"ballpark",2
"baloon",2
"banannas",2
"bander",2
"barely",2
"barnacle",2
"barnyard",2
"barracade",2
"barriers",2
"barrista",2
