"word","n","stem"
"rft",3,"rft"
"rhabdomyolys",3,"rhabdomyoli"
"rhand",3,"rhand"
"rightfoot",3,"rightfoot"
"rigorous",3,"rigor"
"rin",3,"rin"
"ringfinger",3,"ringfing"
"rise",3,"rise"
"rknee",3,"rknee"
"rl",3,"rl"
"rmeove",3,"rmeov"
"roach",3,"roach"
"robot",3,"robot"
"rocky",3,"rocki"
"role",3,"role"
"rolledankle",3,"rolledankl"
"rolledover",3,"rolledov"
"roofs",3,"roof"
"rotate",3,"rotat"
"rpain",3,"rpain"
"rpt",3,"rpt"
"rrf",3,"rrf"
"rscwp",3,"rscwp"
"rtankle",3,"rtankl"
"rtc",3,"rtc"
"rumc",3,"rumc"
"runaway",3,"runaway"
"ry",3,"ry"
"sa",3,"sa"
"safetly",3,"safet"
"sage",3,"sage"
"salive",3,"saliv"
"salsa",3,"salsa"
"sands",3,"sand"
"sarted",3,"sart"
"sawblade",3,"sawblad"
"scaffoling",3,"scaffol"
"scapal",3,"scapal"
"scapholunate",3,"scapholun"
"scar",3,"scar"
"scartched",3,"scartch"
"scatica",3,"scatica"
"scba",3,"scba"
"scenario",3,"scenario"
"scent",3,"scent"
"scented",3,"scent"
"scholl",3,"scholl"
"schoolbus",3,"schoolbus"
"schoolyard",3,"schoolyard"
"science",3,"scienc"
"scm",3,"scm"
"scoops",3,"scoop"
"scope",3,"scope"
"scrapyard",3,"scrapyard"
"screwed",3,"screw"
"season",3,"season"
"secretion",3,"secret"
"sections",3,"section"
"sedation",3,"sedat"
"seeds",3,"seed"
"segment",3,"segment"
"selfemployed",3,"selfemploy"
"selfwith",3,"selfwith"
"semit",3,"semit"
"sensitive",3,"sensit"
"sept",3,"sept"
"serated",3,"serat"
"serous",3,"serous"
"serum",3,"serum"
"servere",3,"server"
"seven",3,"seven"
"severaldays",3,"severalday"
"seye",3,"sey"
"sg",3,"sg"
"shaken",3,"shaken"
"shakiness",3,"shaki"
"shampooer",3,"shampooer"
"shaped",3,"shape"
"shaper",3,"shaper"
"sharppain",3,"sharppain"
"shattering",3,"shatter"
"sheath",3,"sheath"
"sheers",3,"sheer"
"shefell",3,"shefel"
"shefelt",3,"shefelt"
"shellfish",3,"shellfish"
"sheslipped",3,"sheslip"
"shifter",3,"shifter"
"shipment",3,"shipment"
"shoilder",3,"shoilder"
"shoo",3,"shoo"
"shore",3,"shore"
"shoulderand",3,"shoulderand"
"shoulderdislocation",3,"shoulderdisloc"
"shoulderwhile",3,"shoulderwhil"
"shovelling",3,"shovel"
"shown",3,"shown"
"shrapnel",3,"shrapnel"
"sideview",3,"sideview"
"sight",3,"sight"
"silk",3,"silk"
"sipped",3,"sip"
"skateboard",3,"skateboard"
"skier",3,"skier"
"skinned",3,"skin"
"slanted",3,"slant"
"slaughterhouse",3,"slaughterhous"
"slaughtering",3,"slaughter"
"sled",3,"sled"
"slidding",3,"slid"
"slider",3,"slider"
"slivers",3,"sliver"
"sloped",3,"slope"
"slowed",3,"slow"
"smasher",3,"smasher"
"smokey",3,"smokey"
"smooth",3,"smooth"
"snf",3,"snf"
"snowboarder",3,"snowboard"
"snowboarding",3,"snowboard"
"soaps",3,"soap"
"sodder",3,"sodder"
"sohulder",3,"sohuld"
"somehting",3,"someht"
"somethingat",3,"somethingat"
"somethingpop",3,"somethingpop"
"somethingwent",3,"somethingw"
"somethng",3,"somethng"
"sonething",3,"soneth"
"soot",3,"soot"
"soulder",3,"soulder"
"spaces",3,"space"
"spackle",3,"spackl"
"spackling",3,"spackl"
"spare",3,"spare"
"spas",3,"spas"
"spashed",3,"spash"
"spasmed",3,"spasm"
"spasmodic",3,"spasmod"
"spattered",3,"spatter"
"speak",3,"speak"
"speakers",3,"speaker"
"spear",3,"spear"
"speeding",3,"speed"
"spices",3,"spice"
"spinter",3,"spinter"
"splahed",3,"splahe"
"splashe",3,"splash"
"splashedinto",3,"splashedinto"
"splinters",3,"splinter"
"splshed",3,"splshed"
"spoiled",3,"spoil"
"spoke",3,"spoke"
"sprainedknee",3,"sprainedkne"
"sprang",3,"sprang"
"sputom",3,"sputom"
"sq",3,"sq"
"srayed",3,"sray"
"sruck",3,"sruck"
"sstrain",3,"sstrain"
"sta",3,"sta"
"stackof",3,"stackof"
"stairsand",3,"stairsand"
"stairsat",3,"stairsat"
"standin",3,"standin"
"stared",3,"stare"
"stat",3,"stat"
"statues",3,"statu"
"stck",3,"stck"
"ste",3,"ste"
"steaming",3,"steam"
"steppingoff",3,"steppingoff"
"stereo",3,"stereo"
"stethoscope",3,"stethoscop"
"stinger",3,"stinger"
"stirring",3,"stir"
"stitches",3,"stitch"
"stops",3,"stop"
"stored",3,"store"
"straiend",3,"straiend"
"straightened",3,"straighten"
"straiin",3,"straiin"
"strainedwrist",3,"strainedwrist"
"strainof",3,"strainof"
"strangled",3,"strangl"
"strangulation",3,"strangul"
"strapped",3,"strap"
"streak",3,"streak"
"streets",3,"street"
"strick",3,"strick"
"strikign",3,"strikign"
"struckhis",3,"struckhi"
"struckon",3,"struckon"
"strut",3,"strut"
"sttes",3,"sttes"
"stumble",3,"stumbl"
"stumps",3,"stump"
"style",3,"style"
"styling",3,"style"
"subcutaneous",3,"subcutan"
"subdued",3,"subdu"
"subfloor",3,"subfloor"
"subjectfor",3,"subjectfor"
"subjectpatient",3,"subjectpati"
"subscapular",3,"subscapular"
"subseq",3,"subseq"
"substations",3,"substat"
"sucking",3,"suck"
"suddenonset",3,"suddenonset"
"sulfite",3,"sulfit"
"sunburned",3,"sunburn"
"superfacial",3,"superfaci"
"supportive",3,"support"
"supposed",3,"suppos"
"suppression",3,"suppress"
"sur",3,"sur"
"surrounded",3,"surround"
"susp",3,"susp"
"suspicious",3,"suspici"
"sustaine",3,"sustain"
"sustined",3,"sustin"
"swab",3,"swab"
"swap",3,"swap"
"swarm",3,"swarm"
"sweeling",3,"sweel"
"sweep",3,"sweep"
"swellingto",3,"swellingto"
"swimmingpool",3,"swimmingpool"
"swipe",3,"swipe"
"syringes",3,"syring"
"t3",3,"t3"
"t9",3,"t9"
"tablet",3,"tablet"
"tablets",3,"tablet"
"tachy",3,"tachi"
"taco",3,"taco"
"takedown",3,"takedown"
"takingout",3,"takingout"
"tamping",3,"tamp"
"tangle",3,"tangl"
"tanning",3,"tan"
"target",3,"target"
"taste",3,"tast"
"tatoo",3,"tatoo"
"teen",3,"teen"
"tele",3,"tele"
"tell",3,"tell"
"teller",3,"teller"
"temperatures",3,"temperatur"
"tendinosis",3,"tendinosi"
"tends",3,"tend"
"tense",3,"tens"
"tents",3,"tent"
"terrain",3,"terrain"
"testical",3,"testic"
"thand",3,"thand"
"thanksgiving",3,"thanksgiv"
"theback",3,"theback"
"theday",3,"theday"
"theeye",3,"theey"
"theknife",3,"theknif"
"thenose",3,"thenos"
"thermostat",3,"thermostat"
"theroof",3,"theroof"
"theside",3,"thesid"
"thesubject",3,"thesubject"
"thgih",3,"thgih"
"thier",3,"thier"
"thmb",3,"thmb"
"tho",3,"tho"
"thoraci",3,"thoraci"
"thoracicspine",3,"thoracicspin"
"threatening",3,"threaten"
"thrombophlebitis",3,"thrombophleb"
"thrus",3,"thrus"
"thu",3,"thu"
"thumblac",3,"thumblac"
"thump",3,"thump"
"tine",3,"tine"
"tingl",3,"tingl"
"tinnitis",3,"tinniti"
"tio",3,"tio"
"tipof",3,"tipof"
"tiwsted",3,"tiwst"
"tk",3,"tk"
"tknee",3,"tknee"
"tl",3,"tl"
"toarrest",3,"toarrest"
"toclean",3,"toclean"
"todya",3,"todya"
"toeyes",3,"toey"
"tograb",3,"tograb"
"tohis",3,"tohi"
"toi",3,"toi"
"toleg",3,"toleg"
"toolbelt",3,"toolbelt"
"toothache",3,"toothach"
"topull",3,"topul"
"toput",3,"toput"
"torestrain",3,"torestrain"
"torib",3,"torib"
"toright",3,"toright"
"torqued",3,"torqu"
"tosubdue",3,"tosubdu"
"touches",3,"touch"
"toulene",3,"toulen"
"towed",3,"tow"
"tox",3,"tox"
"tpain",3,"tpain"
"tpost",3,"tpost"
"tractortrailer",3,"tractortrail"
"tramatic",3,"tramat"
"tranferred",3,"tranfer"
"tranporting",3,"tranport"
"trapeze",3,"trapez"
"traps",3,"trap"
"treet",3,"treet"
"tri",3,"tri"
"triaging",3,"triag"
"trick",3,"trick"
"tripod",3,"tripod"
"trippe",3,"tripp"
"triquetral",3,"triquetr"
"trn",3,"trn"
"trocar",3,"trocar"
"troponin",3,"troponin"
"truc",3,"truc"
"tryign",3,"tryign"
"tto",3,"tto"
"tuberosity",3,"tuberos"
"tugger",3,"tugger"
"tunnell",3,"tunnel"
"tunnels",3,"tunnel"
"ture",3,"ture"
"turf",3,"turf"
"turing",3,"ture"
"turnstile",3,"turnstil"
"tussle",3,"tussl"
"tweezers",3,"tweezer"
"twelve",3,"twelv"
"twig",3,"twig"
"twiste",3,"twist"
"twistedrt",3,"twistedrt"
"twitching",3,"twitch"
"twsiting",3,"twsite"
"uck",3,"uck"
"uk",3,"uk"
"ulcers",3,"ulcer"
"umping",3,"ump"
"unableto",3,"unableto"
"unaware",3,"unawar"
"undetermined",3,"undetermin"
"uner",3,"uner"
"unexpectedly",3,"unexpect"
"unilateral",3,"unilater"
"unlevel",3,"unlevel"
"unloding",3,"unlod"
"unmarked",3,"unmark"
"unrolling",3,"unrol"
"unscrewed",3,"unscrew"
"unspecif",3,"unspecif"
"unstick",3,"unstick"
"unvaccinated",3,"unvaccin"
"unwitnessed",3,"unwit"
"uom",3,"uom"
"upand",3,"upand"
"upperchest",3,"upperchest"
"uq",3,"uq"
"urfsp",3,"urfsp"
"urticarial",3,"urticari"
"usedto",3,"usedto"
"usiing",3,"usi"
"ustained",3,"ustain"
"ustion",3,"ustion"
"uturn",3,"uturn"
"uveitis",3,"uveiti"
"valgus",3,"valgus"
"vehcile",3,"vehcil"
"vented",3,"vent"
"ver",3,"ver"
"vertebrae",3,"vertebra"
"vertical",3,"vertic"
"vessel",3,"vessel"
"vinegar",3,"vinegar"
"vineyard",3,"vineyard"
"virus",3,"virus"
"voilent",3,"voilent"
"vomitingdx",3,"vomitingdx"
"vomitng",3,"vomitng"
"vomting",3,"vomt"
"vre",3,"vre"
"w0rk",3,"w0rk"
"wacked",3,"wack"
"wake",3,"wake"
"wallboard",3,"wallboard"
"wallcontusion",3,"wallcontus"
"walldx",3,"walldx"
"wand",3,"wand"
"war",3,"war"
"wards",3,"ward"
"ware",3,"ware"
"warehous",3,"wareh"
"warmth",3,"warmth"
"wasa",3,"wasa"
"wasexposed",3,"wasexpos"
"wason",3,"wason"
"wasrearended",3,"wasrearend"
"wasstanding",3,"wasstand"
"wasthrown",3,"wasthrown"
"waters",3,"water"
"ways",3,"way"
"weakne",3,"weakn"
"welds",3,"weld"
"wetfloor",3,"wetfloor"
"wheelbarrel",3,"wheelbarrel"
"wheelbarrows",3,"wheelbarrow"
"wheeze",3,"wheez"
"wheh",3,"wheh"
"whenlifting",3,"whenlift"
"whenworking",3,"whenwork"
"whereshe",3,"wheresh"
"whether",3,"whether"
"whilearresting",3,"whilearrest"
"whiledoing",3,"whiledo"
"whiledriving",3,"whiledriv"
"whilehe",3,"whileh"
"whilein",3,"whilein"
"whilemoving",3,"whilemov"
"whileshe",3,"whilesh"
"whileusing",3,"whileus"
"whiole",3,"whiol"
"whowas",3,"whowa"
"whrn",3,"whrn"
"wide",3,"wide"
"wierd",3,"wierd"
"wildfire",3,"wildfir"
"windmill",3,"windmil"
"winery",3,"wineri"
"wiorking",3,"wiork"
"wist",3,"wist"
"withi",3,"withi"
"withknife",3,"withknif"
"withswelling",3,"withswel"
"withthe",3,"withth"
"wnt",3,"wnt"
"wobbly",3,"wobbl"
"woker",3,"woker"
"won",3,"won"
"wond",3,"wond"
"wont",3,"wont"
"woodshop",3,"woodshop"
"wori",3,"wori"
"woriking",3,"worik"
"work1",3,"work1"
"work10",3,"work10"
"workacute",3,"workacut"
"workankle",3,"workankl"
"workchemical",3,"workchem"
"workd",3,"workd"
"worke",3,"work"
"workfinger",3,"workfing"
"workfor",3,"workfor"
"workhad",3,"workhad"
"workhitting",3,"workhit"
"workign",3,"workign"
"workingfor",3,"workingfor"
"workingtoday",3,"workingtoday"
"workis",3,"worki"
"workknee",3,"workkne"
"worklower",3,"worklow"
"worklumbar",3,"worklumbar"
"workm",3,"workm"
"workmans",3,"workman"
"workseveral",3,"worksever"
"workusing",3,"workus"
"wortk",3,"wortk"
"woun",3,"woun"
"wprker",3,"wprker"
"wrenches",3,"wrench"
"wrisst",3,"wrisst"
"wristlaceration",3,"wristlacer"
"writ",3,"writ"
"wwork",3,"wwork"
"x2d",3,"x2d"
"x30mins",3,"x30min"
"x3d",3,"x3d"
"x4days",3,"x4day"
"x5days",3,"x5day"
"x5hours",3,"x5hour"
"x8hours",3,"x8hour"
"x8hr",3,"x8hr"
"xmas",3,"xmas"
"xposure",3,"xposur"
"y0f",3,"y0f"
"yank",3,"yank"
"yanking",3,"yank"
"yoff",3,"yoff"
"yofwas",3,"yofwa"
"yohf",3,"yohf"
"yomat",3,"yomat"
"yomcut",3,"yomcut"
"yomis",3,"yomi"
"yomlac",3,"yomlac"
"yomlaceration",3,"yomlacer"
"yomwith",3,"yomwith"
"yp",3,"yp"
"zero",3,"zero"
"zipper",3,"zipper"
"00",2,"00"
"0100",2,"0100"
"0400",2,"0400"
"05am",2,"05am"
"0600",2,"0600"
"0630",2,"0630"
"07",2,"07"
"09",2,"09"
"100ft",2,"100ft"
"1030",2,"1030"
"1030am",2,"1030am"
"105",2,"105"
"10day",2,"10day"
"10days",2,"10day"
"10feet",2,"10feet"
"10hours",2,"10hour"
"10sec",2,"10sec"
"110v",2,"110v"
"11ft",2,"11ft"
"1200lb",2,"1200lb"
"12v",2,"12v"
"12wks",2,"12wks"
"1300lb",2,"1300lb"
"130lb",2,"130lb"
"135",2,"135"
"13ft",2,"13ft"
"13wks",2,"13wks"
"140",2,"140"
"14hrs",2,"14hrs"
"14yo",2,"14yo"
"1530",2,"1530"
"15a",2,"15a"
"15hrs",2,"15hrs"
"15p",2,"15p"
"15wks",2,"15wks"
"15yowf",2,"15yowf"
"160lb",2,"160lb"
"160lbs",2,"160lbs"
"16fth",2,"16fth"
"16hr",2,"16hr"
"16yo",2,"16yo"
"1700",2,"1700"
"1730",2,"1730"
"175",2,"175"
"17ft",2,"17ft"
"18yohm",2,"18yohm"
"1930",2,"1930"
"1degree",2,"1degre"
"1ft",2,"1ft"
"1fth",2,"1fth"
"1mm",2,"1mm"
"1mvc",2,"1mvc"
"1p",2,"1p"
"1wkago",2,"1wkago"
"1ya",2,"1ya"
"2000lb",2,"2000lb"
"2003",2,"2003"
"2004",2,"2004"
"2007",2,"2007"
"2010",2,"2010"
"205",2,"205"
"20mins",2,"20min"
"20yobm",2,"20yobm"
"21g",2,"21g"
"21yobm",2,"21yobm"
"22yobm",2,"22yobm"
"230",2,"230"
"230pm",2,"230pm"
"236",2,"236"
"240lb",2,"240lb"
"24ft",2,"24ft"
"24hour",2,"24hour"
"24hr",2,"24hr"
"25g",2,"25g"
"25yohf",2,"25yohf"
"26ym",2,"26ym"
"26yobf",2,"26yobf"
"26yobm",2,"26yobm"
"270volt",2,"270volt"
"27yobm",2,"27yobm"
"28ft",2,"28ft"
"29yohf",2,"29yohf"
"2dago",2,"2dago"
"2fth",2,"2fth"
"2jobs",2,"2job"
"2mm",2,"2mm"
"2x10",2,"2x10"
"2x2",2,"2x2"
"2x3ft",2,"2x3ft"
"2x4s",2,"2x4s"
"2x8",2,"2x8"
"2yrs",2,"2yr"
"3000lb",2,"3000lb"
"30yrs",2,"30yr"
"32wks",2,"32wks"
"32yobm",2,"32yobm"
"33yohm",2,"33yohm"
"346",2,"346"
"34d",2,"34d"
"34yobm",2,"34yobm"
"34yohf",2,"34yohf"
"350lbs",2,"350lbs"
"35am",2,"35am"
"35yohf",2,"35yohf"
"360",2,"360"
"36yobf",2,"36yobf"
"36yohf",2,"36yohf"
"384",2,"384"
"38yobm",2,"38yobm"
"38yohf",2,"38yohf"
"38yohm",2,"38yohm"
"39yobm",2,"39yobm"
"39yohf",2,"39yohf"
"3dago",2,"3dago"
"3mm",2,"3mm"
"3weeks",2,"3week"
"3yrs",2,"3yr"
"400lbs",2,"400lbs"
"40mins",2,"40min"
"40pm",2,"40pm"
"40yobm",2,"40yobm"
"41yohf",2,"41yohf"
"450lbs",2,"450lbs"
"45p",2,"45p"
"45yohm",2,"45yohm"
"460",2,"460"
"46yobf",2,"46yobf"
"49yo",2,"49yo"
"49yohf",2,"49yohf"
"4arm",2,"4arm"
"4day",2,"4day"
"4hrs",2,"4hrs"
"4in",2,"4in"
"4m",2,"4m"
"4mo",2,"4mo"
"4p",2,"4p"
"4x6",2,"4x6"
"4yom",2,"4yom"
"4yr",2,"4yr"
"5000",2,"5000"
"5000lb",2,"5000lb"
"50ft",2,"50ft"
"50yohm",2,"50yohm"
"51yobm",2,"51yobm"
"52yobm",2,"52yobm"
"53yobm",2,"53yobm"
"545",2,"545"
"54yohf",2,"54yohf"
"55lbs",2,"55lbs"
"55yohf",2,"55yohf"
"57yohm",2,"57yohm"
"5day",2,"5day"
"5in",2,"5in"
"5thdigit",2,"5thdigit"
"5thmetatarsal",2,"5thmetatars"
"5x",2,"5x"
"63",2,"63"
"64",2,"64"
"65yowm",2,"65yowm"
"6a",2,"6a"
"6days",2,"6day"
"6x",2,"6x"
"6x6",2,"6x6"
"70yobf",2,"70yobf"
"70yowm",2,"70yowm"
"72yowm",2,"72yowm"
"730am",2,"730am"
"76yowm",2,"76yowm"
"77",2,"77"
"7a",2,"7a"
"7d",2,"7d"
"7days",2,"7day"
"7fth",2,"7fth"
"7yo",2,"7yo"
"7yom",2,"7yom"
"80kg",2,"80kg"
"80mph",2,"80mph"
"82yowm",2,"82yowm"
"89",2,"89"
"8da",2,"8da"
"8lbs",2,"8lbs"
"8mo",2,"8mo"
"8yof",2,"8yof"
"8yom",2,"8yom"
"900lb",2,"900lb"
"90lbs",2,"90lbs"
"91",2,"91"
"92",2,"92"
"930am",2,"930am"
"9a",2,"9a"
"9cm",2,"9cm"
"9da",2,"9da"
"a2x4",2,"a2x4"
"a4",2,"a4"
"aago",2,"aago"
"aarm",2,"aarm"
"abag",2,"abag"
"abakery",2,"abakeri"
"abarasion",2,"abaras"
"abarsions",2,"abars"
"abasion",2,"abas"
"abatement",2,"abat"
"abc",2,"abc"
"abdlmen",2,"abdlmen"
"abdomeinal",2,"abdomein"
"abdominalpain",2,"abdominalpain"
"abdomnal",2,"abdomn"
"abduct",2,"abduct"
"abduction",2,"abduct"
"abdwall",2,"abdwal"
"abe",2,"abe"
"abed",2,"abe"
"ability",2,"abil"
"abm",2,"abm"
"abnormalities",2,"abnorm"
"about3",2,"about3"
"about4",2,"about4"
"abraion",2,"abraion"
"abraisons",2,"abraison"
"abrased",2,"abras"
"abrasiion",2,"abrasiion"
"abrasioin",2,"abrasioin"
"abrasionlt",2,"abrasionlt"
"abrasionnoted",2,"abrasionnot"
"abrin",2,"abrin"
"abscesses",2,"abscess"
"abt",2,"abt"
"abucket",2,"abucket"
"abuilding",2,"abuild"
"acashier",2,"acashi"
"accide",2,"accid"
"accidentallytripped",2,"accidentallytrip"
"accidential",2,"accidenti"
"accidetnal",2,"accidetn"
"accompanying",2,"accompani"
"according",2,"accord"
"accountant",2,"account"
"aceiling",2,"aceil"
"achain",2,"achain"
"achiness",2,"achi"
"acic",2,"acic"
"acidentally",2,"acident"
"acidently",2,"acid"
"aconcussion",2,"aconcuss"
"acrane",2,"acran"
"acromial",2,"acromi"
"acrylate",2,"acryl"
"acte",2,"act"
"acted",2,"act"
"actress",2,"actress"
"actue",2,"actu"
"actured",2,"actur"
"acuity",2,"acuiti"
"acutebilat",2,"acutebilat"
"acuteleft",2,"acuteleft"
"aday",2,"aday"
"added",2,"ad"
"adding",2,"ad"
"additive",2,"addit"
"adducting",2,"adduct"
"adirty",2,"adirti"
"adjacent",2,"adjac"
"adjusted",2,"adjust"
"adminstering",2,"adminst"
"admission",2,"admiss"
"admissions",2,"admiss"
"adog",2,"adog"
"advance",2,"advanc"
"advertising",2,"advertis"
"advice",2,"advic"
"aerobics",2,"aerob"
"afew",2,"afew"
"affraid",2,"affraid"
"afloor",2,"afloor"
"afterbeing",2,"afterb"
"aftering",2,"after"
"afterpicking",2,"afterpick"
"afterr",2,"afterr"
"aftger",2,"aftger"
"againstmetal",2,"againstmet"
"agaisnt",2,"agaisnt"
"agave",2,"agav"
"aggresive",2,"aggres"
"aggrevating",2,"aggrev"
"aggrivating",2,"aggriv"
"agigated",2,"agig"
"agitation",2,"agit"
"agoafter",2,"agoaft"
"agoand",2,"agoand"
"agressively",2,"agress"
"agricultural",2,"agricultur"
"ahammer",2,"ahamm"
"ahdn",2,"ahdn"
"ahigh",2,"ahigh"
"ahold",2,"ahold"
"ahousekeeper",2,"ahousekeep"
"aicd",2,"aicd"
"aiming",2,"aim"
"airbagsc",2,"airbagsc"
"airbor",2,"airbor"
"aircompressor",2,"aircompressor"
"airconditioned",2,"aircondit"
"airliner",2,"airlin"
"airvent",2,"airvent"
"aisles",2,"aisl"
"ajusting",2,"ajust"
"alawn",2,"alawn"
"alergic",2,"alerg"
"alkalinized",2,"alkalin"
"allnight",2,"allnight"
"allowed",2,"allow"
"allregic",2,"allreg"
"alluminum",2,"alluminum"
"alongside",2,"alongsid"
"alter",2,"alter"
"alteraction",2,"alteract"
"alteration",2,"alter"
"altercatin",2,"altercatin"
"altercatio",2,"altercatio"
"altercationw",2,"altercationw"
"altercatoin",2,"altercatoin"
"aluminun",2,"aluminun"
"alumminum",2,"alumminum"
"alvulsion",2,"alvuls"
"aman",2,"aman"
"amat",2,"amat"
"ambers",2,"amber"
"amblance",2,"amblanc"
"amechanic",2,"amechan"
"amedical",2,"amed"
"amplifier",2,"amplifi"
"ampoule",2,"ampoul"
"ampuation",2,"ampuat"
"amputa",2,"amputa"
"amputaion",2,"amputaion"
"amputatio",2,"amputatio"
"amputationof",2,"amputationof"
"amputed",2,"amput"
"anagitated",2,"anagit"
"anchored",2,"anchor"
"andbent",2,"andbent"
"andbit",2,"andbit"
"andburned",2,"andburn"
"anddown",2,"anddown"
"anddropped",2,"anddrop"
"andfinger",2,"andfing"
"andhas",2,"andha"
"andhurt",2,"andhurt"
"andinverted",2,"andinvert"
"andknocked",2,"andknock"
"andmay",2,"andmay"
"andpain",2,"andpain"
"andpossibly",2,"andposs"
"andr",2,"andr"
"androlled",2,"androl"
"andshoulder",2,"andshould"
"andslipped",2,"andslip"
"andstanding",2,"andstand"
"andstruck",2,"andstruck"
"andswelling",2,"andswel"
"andthe",2,"andth"
"andthinks",2,"andthink"
"andtripped",2,"andtrip"
"andtwisted",2,"andtwist"
"andwall",2,"andwal"
"anemployee",2,"anemploye"
"aneurysm",2,"aneurysm"
"anew",2,"anew"
"angled",2,"angl"
"angulated",2,"angul"
"anhydrase",2,"anhydras"
"ankleankle",2,"ankleankl"
"ankledeformity",2,"ankledeform"
"anothercar",2,"anothercar"
"answered",2,"answer"
"anterolisthesis",2,"anterolisthesi"
"anthrax",2,"anthrax"
"antibacterial",2,"antibacteri"
"antitheft",2,"antitheft"
"anymore",2,"anymor"
"aog",2,"aog"
"apain",2,"apain"
"apartments",2,"apart"
"apipe",2,"apip"
"aplumber",2,"aplumb"
"apolice",2,"apolic"
"applicator",2,"applic"
"appratus",2,"appratus"
"apprehended",2,"apprehend"
"apr",2,"apr"
"aprehend",2,"aprehend"
"aprehending",2,"aprehend"
"april",2,"april"
"apw",2,"apw"
"aresident",2,"aresid"
"armabrasions",2,"armabras"
"armand",2,"armand"
"armby",2,"armbi"
"arme",2,"arm"
"armnow",2,"armnow"
"armoir",2,"armoir"
"armor",2,"armor"
"armred",2,"armr"
"armrest",2,"armrest"
"armsand",2,"armsand"
"arock",2,"arock"
"arouind",2,"arouind"
"aroundhis",2,"aroundhi"
"arrange",2,"arrang"
"arranging",2,"arrang"
"arrive",2,"arriv"
"arthalgia",2,"arthalgia"
"arthropod",2,"arthropod"
"article",2,"articl"
"artifical",2,"artif"
"asap",2,"asap"
"asheet",2,"asheet"
"ashome",2,"ashom"
"aspart",2,"aspart"
"aspirate",2,"aspir"
"assa",2,"assa"
"assaisting",2,"assaist"
"assalted",2,"assalt"
"assauled",2,"assaul"
"assaulte",2,"assault"
"assaultedat",2,"assaultedat"
"assaut",2,"assaut"
"assebly",2,"assebl"
"assecurity",2,"assecur"
"assessment",2,"assess"
"assistaing",2,"assista"
"assistent",2,"assist"
"assit",2,"assit"
"assited",2,"assit"
"asslt",2,"asslt"
"associate",2,"associ"
"associates",2,"associ"
"assumes",2,"assum"
"asthama",2,"asthama"
"asthmaticus",2,"asthmaticus"
"astmha",2,"astmha"
"astore",2,"astor"
"astudent",2,"astud"
"asx",2,"asx"
"asymptomatic",2,"asymptomat"
"at3am",2,"at3am"
"atacked",2,"atack"
"atapprox",2,"atapprox"
"aterial",2,"ateri"
"atfer",2,"atfer"
"atgrocery",2,"atgroceri"
"atire",2,"atir"
"ato",2,"ato"
"atow",2,"atow"
"atrained",2,"atrain"
"atschool",2,"atschool"
"attemptedto",2,"attemptedto"
"attendent",2,"attend"
"attepting",2,"attept"
"attmepting",2,"attmept"
"attn",2,"attn"
"attorney",2,"attorney"
"attributing",2,"attribut"
"atunspecified",2,"atunspecifi"
"atwk",2,"atwk"
"au",2,"au"
"auction",2,"auction"
"aunt",2,"aunt"
"austic",2,"austic"
"aute",2,"aut"
"autoshop",2,"autoshop"
"average",2,"averag"
"avoided",2,"avoid"
"avoiding",2,"avoid"
"avulstion",2,"avulst"
"aw",2,"aw"
"awaitress",2,"awaitress"
"awake",2,"awak"
"awarehouse",2,"awarehous"
"awk",2,"awk"
"awl",2,"awl"
"awood",2,"awood"
"ayt",2,"ayt"
"az",2,"az"
"backc",2,"backc"
"backedup",2,"backedup"
"backflip",2,"backflip"
"backhow",2,"backhow"
"backinjury",2,"backinjuri"
"backpainful",2,"backpain"
"backup",2,"backup"
"backw",2,"backw"
"bacwards",2,"bacward"
"badminton",2,"badminton"
"bagan",2,"bagan"
"bagged",2,"bag"
"bagle",2,"bagl"
"bagof",2,"bagof"
"balances",2,"balanc"
"balancing",2,"balanc"
"ballistic",2,"ballist"
"ballpark",2,"ballpark"
"baloon",2,"baloon"
"banannas",2,"bananna"
"bander",2,"bander"
"barely",2,"bare"
"barnacle",2,"barnacl"
"barnyard",2,"barnyard"
"barracade",2,"barracad"
"barriers",2,"barrier"
"barrista",2,"barrista"
"barstools",2,"barstool"
"baseballs",2,"basebal"
"baseboard",2,"baseboard"
"baseboards",2,"baseboard"
"bases",2,"base"
"batch",2,"batch"
"bathes",2,"bath"
"baths",2,"bath"
"bats",2,"bat"
"battering",2,"batter"
"bback",2,"bback"
"bbems",2,"bbem"
"bc",2,"bc"
"bct",2,"bct"
"bd",2,"bd"
"beacme",2,"beacm"
"beard",2,"beard"
"bearm",2,"bearm"
"beautician",2,"beautician"
"becamedizzy",2,"becamedizzi"
"bedat",2,"bedat"
"beddx",2,"beddx"
"beding",2,"bede"
"beekeeper",2,"beekeep"
"beetle",2,"beetl"
"beg",2,"beg"
"begah",2,"begah"
"beganhaving",2,"beganhav"
"beganto",2,"beganto"
"begn",2,"begn"
"begna",2,"begna"
"behaviorial",2,"behaviori"
"behindw",2,"behindw"
"beinding",2,"beind"
"beinghit",2,"beinghit"
"benchpressing",2,"benchpress"
"benefit",2,"benefit"
"benging",2,"beng"
"benzos",2,"benzo"
"betwee",2,"betwe"
"betweenthe",2,"betweenth"
"betwen",2,"betwen"
"beverges",2,"beverg"
"bg",2,"bg"
"bhi",2,"bhi"
